"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 27 17:13:36 PKT 2021","Sat Mar 27 17:13:58 PKT 2021","22286","","Login and Logout of Dolphin","","Login and Logout of Dolphin","Login to Dolphin","Login to Dolphin",""
"passed","Sat Mar 27 17:13:58 PKT 2021","Sat Mar 27 17:14:02 PKT 2021","3547","","Login and Logout of Dolphin","","Login and Logout of Dolphin","Logout of Dolphin","Logout of Dolphin",""
